Region,Basin,mean dH,smooth dH,Dates,dates
East,Jpp-K,-0.0002,0.0274,2005,2005-10-03 23:59:59.999997
East,Jpp-K,0.0226,0.042,2006,2006-02-21 00:00:00.000000
East,Jpp-K,0.0427,0.0591,2006,2006-07-10 23:59:59.999996
East,Jpp-K,0.0705,0.0777,2006,2006-11-28 00:00:00.000000
East,Jpp-K,0.1252,0.0962,2007,2007-04-17 00:00:00.000003
East,Jpp-K,0.1453,0.1134,2007,2007-09-03 23:59:59.999999
East,Jpp-K,0.1322,0.1284,2008,2008-01-21 22:23:20.547944
East,Jpp-K,0.1559,0.1408,2008,2008-06-10 00:00:00.000001
East,Jpp-K,0.161,0.1508,2008,2008-10-28 00:09:51.780823
East,Jpp-K,0.1601,0.1591,2009,2009-03-16 23:59:59.999999
East,Jpp-K,0.1769,0.1662,2009,2009-08-04 00:00:00.000002
East,Jpp-K,0.1618,0.173,2009,2009-12-21 23:59:59.999998
East,Jpp-K,0.1698,0.1798,2010,2010-05-11 00:00:00.000001
East,Jpp-K,0.1665,0.1867,2010,2010-09-27 23:59:59.999998
East,Jpp-K,0.2109,0.1932,2011,2011-02-15 00:00:00.000001
East,Jpp-K,0.2228,0.199,2011,2011-07-04 23:59:59.999997
East,Jpp-K,0.2191,0.2038,2011,2011-11-21 23:00:59.016390
East,Jpp-K,0.2037,0.2073,2012,2012-04-09 23:59:59.999999
East,Jpp-K,0.2063,0.2098,2012,2012-08-27 23:59:59.999999
East,Jpp-K,0.2053,0.2114,2013,2013-01-15 01:50:09.836063
East,Jpp-K,0.2192,0.2124,2013,2013-06-04 00:00:00.000000
East,Jpp-K,0.2264,0.2129,2013,2013-10-22 00:00:00.000003
East,Jpp-K,0.2103,0.2131,2014,2014-03-10 23:59:59.999999
East,Jpp-K,0.2178,0.2133,2014,2014-07-29 00:00:00.000003
East,Jpp-K,0.2035,0.2139,2014,2014-12-15 23:59:59.999999
East,Jpp-K,0.2037,0.215,2015,2015-05-05 00:00:00.000002
East,Jpp-K,0.2106,0.2169,2015,2015-09-21 23:59:59.999998
East,Jpp-K,0.2109,0.2194,2016,2016-02-08 22:58:50.958904
East,Jpp-K,0.2362,0.2222,2016,2016-06-27 23:59:59.999997
East,Jpp-K,0.2318,0.225,2016,2016-11-15 00:45:22.191783
East,Jpp-K,0.2275,0.2276,2017,2017-04-03 23:59:59.999998
East,Jpp-K,0.235,0.2299,2017,2017-08-22 00:00:00.000001
East,Jpp-K,0.2166,0.2319,2018,2018-01-08 23:59:59.999997
East,Jpp-K,0.2377,0.2337,2018,2018-05-29 00:00:00.000000
East,Jpp-K,0.2478,0.2353,2018,2018-10-15 23:59:59.999996
East,Jpp-K,0.2364,0.2369,2019,2019-03-05 00:00:00.000000
East,Jpp-K,0.2369,0.2384,2019,2019-07-23 00:00:00.000003
East,Jpp-K,0.2289,0.24,2019,2019-12-09 22:25:34.426227
East,Jpp-K,0.2413,0.2415,2020,2020-04-28 00:00:00.000002
East,Jpp-K,0.2499,0.2429,2020,2020-09-15 00:00:00.000002
East,Jpp-K,0.2422,0.244,2021,2021-02-02 01:14:45.245900
East,Jpp-K,0.2578,0.2447,2021,2021-06-21 23:59:59.999999
East,Jpp-K,0.2542,0.245,2021,2021-11-09 00:00:00.000002
East,Jpp-K,0.2355,0.2452,2022,2022-03-28 23:59:59.999998
East,Jpp-K,0.2444,0.2459,2022,2022-08-16 00:00:00.000001
East,Jpp-K,0.2268,0.2471,2023,2023-01-02 23:59:59.999997
East,Jpp-K,0.2432,0.249,2023,2023-05-23 00:00:00.000001
East,Jpp-K,0.2508,0.2512,2023,2023-10-09 23:59:59.999997
East,Jpp-K,0.2635,0.2533,2024,2024-02-26 23:34:21.369864
East,Jpp-K,0.2683,0.2545,2024,2024-07-16 00:00:00.000000
West,G-H,0.0,-0.0443,1995,1995-05-29 23:59:59.999999
West,G-H,0.0773,-0.0527,1995,1995-10-17 00:00:00.000002
West,G-H,-0.0516,-0.0678,1996,1996-03-04 23:48:09.863014
West,G-H,-0.2388,-0.0868,1996,1996-07-23 00:00:00.000000
West,G-H,-0.0623,-0.1074,1996,1996-12-10 01:34:41.095893
West,G-H,-0.1742,-0.1282,1997,1997-04-29 00:00:00.000002
West,G-H,-0.0676,-0.149,1997,1997-09-15 23:59:59.999998
West,G-H,-0.2094,-0.1705,1998,1998-02-03 00:00:00.000002
West,G-H,-0.1609,-0.1931,1998,1998-06-22 23:59:59.999998
West,G-H,-0.1469,-0.2174,1998,1998-11-10 00:00:00.000001
West,G-H,-0.3274,-0.2435,1999,1999-03-29 23:59:59.999997
West,G-H,-0.2556,-0.272,1999,1999-08-17 00:00:00.000000
West,G-H,-0.3354,-0.3039,2000,2000-01-03 21:47:50.136984
West,G-H,-0.2899,-0.3408,2000,2000-05-22 23:59:59.999998
West,G-H,-0.2206,-0.384,2000,2000-10-09 23:59:59.999999
West,G-H,-0.3619,-0.4334,2001,2001-02-27 00:25:34.426228
West,G-H,-0.6196,-0.4875,2001,2001-07-17 00:00:00.000003
West,G-H,-0.4894,-0.5435,2001,2001-12-03 23:59:59.999999
West,G-H,-0.6068,-0.5984,2002,2002-04-23 00:00:00.000003
West,G-H,-0.7817,-0.6497,2002,2002-09-09 23:59:59.999999
West,G-H,-0.6992,-0.6964,2003,2003-01-28 00:00:00.000002
West,G-H,-0.718,-0.7387,2003,2003-06-16 23:59:59.999998
West,G-H,-0.7655,-0.7775,2003,2003-11-03 23:36:23.606560
West,G-H,-0.8577,-0.8143,2004,2004-03-23 00:00:00.000003
West,G-H,-0.8552,-0.8504,2004,2004-08-10 00:00:00.000003
West,G-H,-0.8279,-0.8872,2004,2004-12-28 02:10:11.506853
West,G-H,-0.9702,-0.9261,2005,2005-05-17 00:00:00.000001
West,G-H,-0.9181,-0.9685,2005,2005-10-03 23:59:59.999997
West,G-H,-0.9823,-1.0154,2006,2006-02-21 00:00:00.000000
West,G-H,-1.0186,-1.0674,2006,2006-07-10 23:59:59.999996
West,G-H,-1.1029,-1.1248,2006,2006-11-28 00:00:00.000000
West,G-H,-1.1976,-1.1871,2007,2007-04-17 00:00:00.000003
West,G-H,-1.2136,-1.2534,2007,2007-09-03 23:59:59.999999
West,G-H,-1.3196,-1.3222,2008,2008-01-21 22:23:20.547944
West,G-H,-1.4204,-1.3912,2008,2008-06-10 00:00:00.000001
West,G-H,-1.3977,-1.4562,2008,2008-10-28 00:09:51.780823
West,G-H,-1.5608,-1.5116,2009,2009-03-16 23:59:59.999999
West,G-H,-1.6451,-1.551,2009,2009-08-04 00:00:00.000002
West,G-H,-1.7512,-1.5696,2009,2009-12-21 23:59:59.999998
West,G-H,-1.8935,-1.5674,2010,2010-05-11 00:00:00.000001
West,G-H,-1.9545,-1.5506,2010,2010-09-27 23:59:59.999998
West,G-H,-1.046,-1.5311,2011,2011-02-15 00:00:00.000001
West,G-H,-1.1954,-1.5232,2011,2011-07-04 23:59:59.999997
West,G-H,-1.321,-1.5385,2011,2011-11-21 23:00:59.016390
West,G-H,-1.46,-1.583,2012,2012-04-09 23:59:59.999999
West,G-H,-1.5981,-1.6561,2012,2012-08-27 23:59:59.999999
West,G-H,-1.7261,-1.7524,2013,2013-01-15 01:50:09.836063
West,G-H,-1.7934,-1.865,2013,2013-06-04 00:00:00.000000
West,G-H,-1.9848,-1.9869,2013,2013-10-22 00:00:00.000003
West,G-H,-2.1829,-2.113,2014,2014-03-10 23:59:59.999999
West,G-H,-2.2234,-2.2395,2014,2014-07-29 00:00:00.000003
West,G-H,-2.3464,-2.3641,2014,2014-12-15 23:59:59.999999
West,G-H,-2.5395,-2.4859,2015,2015-05-05 00:00:00.000002
West,G-H,-2.6431,-2.6048,2015,2015-09-21 23:59:59.999998
West,G-H,-2.7418,-2.722,2016,2016-02-08 22:58:50.958904
West,G-H,-2.8319,-2.8392,2016,2016-06-27 23:59:59.999997
West,G-H,-2.8749,-2.9584,2016,2016-11-15 00:45:22.191783
West,G-H,-3.0508,-3.0809,2017,2017-04-03 23:59:59.999998
West,G-H,-3.1723,-3.2066,2017,2017-08-22 00:00:00.000001
West,G-H,-3.3215,-3.3337,2018,2018-01-08 23:59:59.999997
West,G-H,-3.5146,-3.4596,2018,2018-05-29 00:00:00.000000
West,G-H,-3.6268,-3.5817,2018,2018-10-15 23:59:59.999996
West,G-H,-3.8146,-3.6988,2019,2019-03-05 00:00:00.000000
West,G-H,-3.8175,-3.8113,2019,2019-07-23 00:00:00.000003
West,G-H,-3.8833,-3.9217,2019,2019-12-09 22:25:34.426227
West,G-H,-4.0038,-4.0331,2020,2020-04-28 00:00:00.000002
West,G-H,-4.0648,-4.1483,2020,2020-09-15 00:00:00.000002
West,G-H,-4.2086,-4.2689,2021,2021-02-02 01:14:45.245900
West,G-H,-4.4154,-4.3949,2021,2021-06-21 23:59:59.999999
West,G-H,-4.5239,-4.525,2021,2021-11-09 00:00:00.000002
West,G-H,-4.6876,-4.6569,2022,2022-03-28 23:59:59.999998
West,G-H,-4.7409,-4.7874,2022,2022-08-16 00:00:00.000001
West,G-H,-4.9224,-4.9121,2023,2023-01-02 23:59:59.999997
West,G-H,-5.0974,-5.0251,2023,2023-05-23 00:00:00.000001
West,G-H,-5.2423,-5.1195,2023,2023-10-09 23:59:59.999997
West,G-H,-5.377,-5.1877,2024,2024-02-26 23:34:21.369864
West,G-H,-5.4541,-5.2237,2024,2024-07-16 00:00:00.000000
East,Dp-E,0.0,0.0694,1995,1995-05-29 23:59:59.999999
East,Dp-E,0.1636,0.0696,1995,1995-10-17 00:00:00.000002
East,Dp-E,0.0637,0.0702,1996,1996-03-04 23:48:09.863014
East,Dp-E,0.07,0.0713,1996,1996-07-23 00:00:00.000000
East,Dp-E,0.0426,0.073,1996,1996-12-10 01:34:41.095893
East,Dp-E,-0.0146,0.0753,1997,1997-04-29 00:00:00.000002
East,Dp-E,0.2137,0.0781,1997,1997-09-15 23:59:59.999998
East,Dp-E,0.0691,0.0814,1998,1998-02-03 00:00:00.000002
East,Dp-E,0.0213,0.0853,1998,1998-06-22 23:59:59.999998
East,Dp-E,0.1508,0.0903,1998,1998-11-10 00:00:00.000001
East,Dp-E,0.0305,0.0968,1999,1999-03-29 23:59:59.999997
East,Dp-E,0.0782,0.1045,1999,1999-08-17 00:00:00.000000
East,Dp-E,0.1075,0.1124,2000,2000-01-03 21:47:50.136984
East,Dp-E,0.1417,0.1193,2000,2000-05-22 23:59:59.999998
East,Dp-E,0.204,0.1238,2000,2000-10-09 23:59:59.999999
East,Dp-E,0.1567,0.1258,2001,2001-02-27 00:25:34.426228
East,Dp-E,0.1498,0.1266,2001,2001-07-17 00:00:00.000003
East,Dp-E,0.0818,0.1284,2001,2001-12-03 23:59:59.999999
East,Dp-E,0.016,0.1337,2002,2002-04-23 00:00:00.000003
East,Dp-E,0.1435,0.1433,2002,2002-09-09 23:59:59.999999
East,Dp-E,0.0347,0.1564,2003,2003-01-28 00:00:00.000002
East,Dp-E,0.3051,0.1705,2003,2003-06-16 23:59:59.999998
East,Dp-E,0.2311,0.1823,2003,2003-11-03 23:36:23.606560
East,Dp-E,0.2358,0.1896,2004,2004-03-23 00:00:00.000003
East,Dp-E,0.2833,0.1916,2004,2004-08-10 00:00:00.000003
East,Dp-E,0.1022,0.1892,2004,2004-12-28 02:10:11.506853
East,Dp-E,0.1545,0.1838,2005,2005-05-17 00:00:00.000001
East,Dp-E,0.25,0.1769,2005,2005-10-03 23:59:59.999997
East,Dp-E,0.0782,0.1693,2006,2006-02-21 00:00:00.000000
East,Dp-E,0.2354,0.1612,2006,2006-07-10 23:59:59.999996
East,Dp-E,0.1756,0.1524,2006,2006-11-28 00:00:00.000000
East,Dp-E,0.1098,0.143,2007,2007-04-17 00:00:00.000003
East,Dp-E,0.1753,0.1335,2007,2007-09-03 23:59:59.999999
East,Dp-E,0.0292,0.1243,2008,2008-01-21 22:23:20.547944
East,Dp-E,0.169,0.1161,2008,2008-06-10 00:00:00.000001
East,Dp-E,0.1204,0.1094,2008,2008-10-28 00:09:51.780823
East,Dp-E,0.0578,0.1047,2009,2009-03-16 23:59:59.999999
East,Dp-E,0.1211,0.1019,2009,2009-08-04 00:00:00.000002
East,Dp-E,0.0258,0.1012,2009,2009-12-21 23:59:59.999998
East,Dp-E,0.1213,0.1021,2010,2010-05-11 00:00:00.000001
East,Dp-E,0.1318,0.1042,2010,2010-09-27 23:59:59.999998
East,Dp-E,0.1248,0.1069,2011,2011-02-15 00:00:00.000001
East,Dp-E,0.0897,0.11,2011,2011-07-04 23:59:59.999997
East,Dp-E,0.0978,0.1134,2011,2011-11-21 23:00:59.016390
East,Dp-E,0.0968,0.1171,2012,2012-04-09 23:59:59.999999
East,Dp-E,0.1404,0.1207,2012,2012-08-27 23:59:59.999999
East,Dp-E,0.1167,0.1236,2013,2013-01-15 01:50:09.836063
East,Dp-E,0.1641,0.1254,2013,2013-06-04 00:00:00.000000
East,Dp-E,0.1686,0.1262,2013,2013-10-22 00:00:00.000003
East,Dp-E,0.0864,0.1264,2014,2014-03-10 23:59:59.999999
East,Dp-E,0.111,0.127,2014,2014-07-29 00:00:00.000003
East,Dp-E,0.1052,0.1289,2014,2014-12-15 23:59:59.999999
East,Dp-E,0.1159,0.1326,2015,2015-05-05 00:00:00.000002
East,Dp-E,0.1592,0.1381,2015,2015-09-21 23:59:59.999998
East,Dp-E,0.1256,0.145,2016,2016-02-08 22:58:50.958904
East,Dp-E,0.1502,0.1527,2016,2016-06-27 23:59:59.999997
East,Dp-E,0.1745,0.1608,2016,2016-11-15 00:45:22.191783
East,Dp-E,0.1684,0.1688,2017,2017-04-03 23:59:59.999998
East,Dp-E,0.1807,0.1762,2017,2017-08-22 00:00:00.000001
East,Dp-E,0.1657,0.1827,2018,2018-01-08 23:59:59.999997
East,Dp-E,0.2118,0.1879,2018,2018-05-29 00:00:00.000000
East,Dp-E,0.2146,0.1914,2018,2018-10-15 23:59:59.999996
East,Dp-E,0.191,0.1931,2019,2019-03-05 00:00:00.000000
East,Dp-E,0.228,0.193,2019,2019-07-23 00:00:00.000003
East,Dp-E,0.1629,0.1915,2019,2019-12-09 22:25:34.426227
East,Dp-E,0.1942,0.1888,2020,2020-04-28 00:00:00.000002
East,Dp-E,0.1979,0.1854,2020,2020-09-15 00:00:00.000002
East,Dp-E,0.1677,0.1816,2021,2021-02-02 01:14:45.245900
East,Dp-E,0.209,0.1778,2021,2021-06-21 23:59:59.999999
East,Dp-E,0.1423,0.1743,2021,2021-11-09 00:00:00.000002
East,Dp-E,0.1775,0.1715,2022,2022-03-28 23:59:59.999998
East,Dp-E,0.1591,0.17,2022,2022-08-16 00:00:00.000001
East,Dp-E,0.1482,0.1699,2023,2023-01-02 23:59:59.999997
East,Dp-E,0.1886,0.1712,2023,2023-05-23 00:00:00.000001
East,Dp-E,0.1437,0.1734,2023,2023-10-09 23:59:59.999997
East,Dp-E,0.1425,0.1756,2024,2024-02-26 23:34:21.369864
East,Dp-E,0.2404,0.177,2024,2024-07-16 00:00:00.000000
East,Ap-B,0.0,-0.0597,1995,1995-05-29 23:59:59.999999
East,Ap-B,0.0195,-0.0626,1995,1995-10-17 00:00:00.000002
East,Ap-B,-0.1711,-0.0671,1996,1996-03-04 23:48:09.863014
East,Ap-B,-0.146,-0.0713,1996,1996-07-23 00:00:00.000000
East,Ap-B,-0.0824,-0.0738,1996,1996-12-10 01:34:41.095893
East,Ap-B,-0.0695,-0.074,1997,1997-04-29 00:00:00.000002
East,Ap-B,0.0397,-0.0719,1997,1997-09-15 23:59:59.999998
East,Ap-B,-0.1707,-0.0677,1998,1998-02-03 00:00:00.000002
East,Ap-B,-0.0812,-0.0616,1998,1998-06-22 23:59:59.999998
East,Ap-B,-0.0619,-0.0541,1998,1998-11-10 00:00:00.000001
East,Ap-B,-0.0847,-0.0459,1999,1999-03-29 23:59:59.999997
East,Ap-B,0.0698,-0.0381,1999,1999-08-17 00:00:00.000000
East,Ap-B,-0.0874,-0.0323,2000,2000-01-03 21:47:50.136984
East,Ap-B,-0.0053,-0.0294,2000,2000-05-22 23:59:59.999998
East,Ap-B,0.0926,-0.0299,2000,2000-10-09 23:59:59.999999
East,Ap-B,-0.1229,-0.0335,2001,2001-02-27 00:25:34.426228
East,Ap-B,-0.0024,-0.0394,2001,2001-07-17 00:00:00.000003
East,Ap-B,-0.0645,-0.0462,2001,2001-12-03 23:59:59.999999
East,Ap-B,-0.0334,-0.0524,2002,2002-04-23 00:00:00.000003
East,Ap-B,-0.076,-0.0567,2002,2002-09-09 23:59:59.999999
East,Ap-B,-0.1151,-0.0579,2003,2003-01-28 00:00:00.000002
East,Ap-B,-0.0531,-0.0554,2003,2003-06-16 23:59:59.999998
East,Ap-B,-0.0752,-0.0487,2003,2003-11-03 23:36:23.606560
East,Ap-B,-0.0866,-0.0384,2004,2004-03-23 00:00:00.000003
East,Ap-B,0.0045,-0.0253,2004,2004-08-10 00:00:00.000003
East,Ap-B,-0.0341,-0.0108,2004,2004-12-28 02:10:11.506853
East,Ap-B,0.0197,0.0036,2005,2005-05-17 00:00:00.000001
East,Ap-B,0.0661,0.0168,2005,2005-10-03 23:59:59.999997
East,Ap-B,0.0046,0.0281,2006,2006-02-21 00:00:00.000000
East,Ap-B,0.0812,0.0372,2006,2006-07-10 23:59:59.999996
East,Ap-B,0.0301,0.0447,2006,2006-11-28 00:00:00.000000
East,Ap-B,0.0321,0.0512,2007,2007-04-17 00:00:00.000003
East,Ap-B,0.1242,0.0578,2007,2007-09-03 23:59:59.999999
East,Ap-B,-0.0118,0.0656,2008,2008-01-21 22:23:20.547944
East,Ap-B,0.0608,0.0753,2008,2008-06-10 00:00:00.000001
East,Ap-B,0.0884,0.0872,2008,2008-10-28 00:09:51.780823
East,Ap-B,0.0545,0.1008,2009,2009-03-16 23:59:59.999999
East,Ap-B,0.1689,0.1152,2009,2009-08-04 00:00:00.000002
East,Ap-B,0.1029,0.1295,2009,2009-12-21 23:59:59.999998
East,Ap-B,0.1702,0.1426,2010,2010-05-11 00:00:00.000001
East,Ap-B,0.2296,0.1544,2010,2010-09-27 23:59:59.999998
East,Ap-B,0.1064,0.1651,2011,2011-02-15 00:00:00.000001
East,Ap-B,0.1634,0.1753,2011,2011-07-04 23:59:59.999997
East,Ap-B,0.1601,0.1853,2011,2011-11-21 23:00:59.016390
East,Ap-B,0.2014,0.1952,2012,2012-04-09 23:59:59.999999
East,Ap-B,0.2675,0.2047,2012,2012-08-27 23:59:59.999999
East,Ap-B,0.2011,0.2136,2013,2013-01-15 01:50:09.836063
East,Ap-B,0.2045,0.2218,2013,2013-06-04 00:00:00.000000
East,Ap-B,0.2443,0.2297,2013,2013-10-22 00:00:00.000003
East,Ap-B,0.2129,0.2377,2014,2014-03-10 23:59:59.999999
East,Ap-B,0.2705,0.2464,2014,2014-07-29 00:00:00.000003
East,Ap-B,0.2242,0.2563,2014,2014-12-15 23:59:59.999999
East,Ap-B,0.2605,0.2677,2015,2015-05-05 00:00:00.000002
East,Ap-B,0.2932,0.2807,2015,2015-09-21 23:59:59.999998
East,Ap-B,0.2591,0.2957,2016,2016-02-08 22:58:50.958904
East,Ap-B,0.3128,0.3125,2016,2016-06-27 23:59:59.999997
East,Ap-B,0.3357,0.3311,2016,2016-11-15 00:45:22.191783
East,Ap-B,0.3213,0.3515,2017,2017-04-03 23:59:59.999998
East,Ap-B,0.3935,0.3732,2017,2017-08-22 00:00:00.000001
East,Ap-B,0.3659,0.3961,2018,2018-01-08 23:59:59.999997
East,Ap-B,0.4265,0.4195,2018,2018-05-29 00:00:00.000000
East,Ap-B,0.4535,0.4428,2018,2018-10-15 23:59:59.999996
East,Ap-B,0.4647,0.4653,2019,2019-03-05 00:00:00.000000
East,Ap-B,0.5017,0.4864,2019,2019-07-23 00:00:00.000003
East,Ap-B,0.5232,0.5054,2019,2019-12-09 22:25:34.426227
East,Ap-B,0.5229,0.5221,2020,2020-04-28 00:00:00.000002
East,Ap-B,0.5777,0.5367,2020,2020-09-15 00:00:00.000002
East,Ap-B,0.5393,0.5494,2021,2021-02-02 01:14:45.245900
East,Ap-B,0.561,0.561,2021,2021-06-21 23:59:59.999999
East,Ap-B,0.5714,0.5722,2021,2021-11-09 00:00:00.000002
East,Ap-B,0.5514,0.5833,2022,2022-03-28 23:59:59.999998
East,Ap-B,0.613,0.5944,2022,2022-08-16 00:00:00.000001
East,Ap-B,0.6048,0.6051,2023,2023-01-02 23:59:59.999997
East,Ap-B,0.6289,0.6148,2023,2023-05-23 00:00:00.000001
East,Ap-B,0.6475,0.6227,2023,2023-10-09 23:59:59.999997
East,Ap-B,0.6126,0.6284,2024,2024-02-26 23:34:21.369864
East,Ap-B,0.6639,0.6313,2024,2024-07-16 00:00:00.000000
East,C-Cp,0.0,-0.0311,1995,1995-05-29 23:59:59.999999
East,C-Cp,-0.0342,-0.0264,1995,1995-10-17 00:00:00.000002
East,C-Cp,-0.1389,-0.017,1996,1996-03-04 23:48:09.863014
East,C-Cp,-0.0842,-0.003,1996,1996-07-23 00:00:00.000000
East,C-Cp,0.0977,0.0146,1996,1996-12-10 01:34:41.095893
East,C-Cp,0.0328,0.0347,1997,1997-04-29 00:00:00.000002
East,C-Cp,0.1052,0.0559,1997,1997-09-15 23:59:59.999998
East,C-Cp,0.0155,0.0772,1998,1998-02-03 00:00:00.000002
East,C-Cp,0.0963,0.0984,1998,1998-06-22 23:59:59.999998
East,C-Cp,0.1525,0.1193,1998,1998-11-10 00:00:00.000001
East,C-Cp,0.1151,0.1403,1999,1999-03-29 23:59:59.999997
East,C-Cp,0.206,0.1614,1999,1999-08-17 00:00:00.000000
East,C-Cp,0.1368,0.1831,2000,2000-01-03 21:47:50.136984
East,C-Cp,0.1768,0.2051,2000,2000-05-22 23:59:59.999998
East,C-Cp,0.2845,0.2272,2000,2000-10-09 23:59:59.999999
East,C-Cp,0.1998,0.2486,2001,2001-02-27 00:25:34.426228
East,C-Cp,0.2847,0.2679,2001,2001-07-17 00:00:00.000003
East,C-Cp,0.3309,0.2838,2001,2001-12-03 23:59:59.999999
East,C-Cp,0.3672,0.2954,2002,2002-04-23 00:00:00.000003
East,C-Cp,0.2894,0.3024,2002,2002-09-09 23:59:59.999999
East,C-Cp,0.3353,0.3054,2003,2003-01-28 00:00:00.000002
East,C-Cp,0.3074,0.3056,2003,2003-06-16 23:59:59.999998
East,C-Cp,0.3008,0.3046,2003,2003-11-03 23:36:23.606560
East,C-Cp,0.2556,0.304,2004,2004-03-23 00:00:00.000003
East,C-Cp,0.3435,0.3048,2004,2004-08-10 00:00:00.000003
East,C-Cp,0.2601,0.3076,2004,2004-12-28 02:10:11.506853
East,C-Cp,0.289,0.3123,2005,2005-05-17 00:00:00.000001
East,C-Cp,0.3374,0.3182,2005,2005-10-03 23:59:59.999997
East,C-Cp,0.3011,0.3243,2006,2006-02-21 00:00:00.000000
East,C-Cp,0.3858,0.3293,2006,2006-07-10 23:59:59.999996
East,C-Cp,0.341,0.3324,2006,2006-11-28 00:00:00.000000
East,C-Cp,0.3343,0.3333,2007,2007-04-17 00:00:00.000003
East,C-Cp,0.3809,0.3325,2007,2007-09-03 23:59:59.999999
East,C-Cp,0.2901,0.3309,2008,2008-01-21 22:23:20.547944
East,C-Cp,0.319,0.3299,2008,2008-06-10 00:00:00.000001
East,C-Cp,0.3336,0.3308,2008,2008-10-28 00:09:51.780823
East,C-Cp,0.2746,0.3346,2009,2009-03-16 23:59:59.999999
East,C-Cp,0.3544,0.3417,2009,2009-08-04 00:00:00.000002
East,C-Cp,0.3232,0.3521,2009,2009-12-21 23:59:59.999998
East,C-Cp,0.3451,0.365,2010,2010-05-11 00:00:00.000001
East,C-Cp,0.3753,0.379,2010,2010-09-27 23:59:59.999998
East,C-Cp,0.4127,0.3926,2011,2011-02-15 00:00:00.000001
East,C-Cp,0.4517,0.4044,2011,2011-07-04 23:59:59.999997
East,C-Cp,0.4199,0.4135,2011,2011-11-21 23:00:59.016390
East,C-Cp,0.4329,0.4193,2012,2012-04-09 23:59:59.999999
East,C-Cp,0.4518,0.4218,2012,2012-08-27 23:59:59.999999
East,C-Cp,0.4076,0.4213,2013,2013-01-15 01:50:09.836063
East,C-Cp,0.4151,0.4178,2013,2013-06-04 00:00:00.000000
East,C-Cp,0.4328,0.4115,2013,2013-10-22 00:00:00.000003
East,C-Cp,0.4439,0.4026,2014,2014-03-10 23:59:59.999999
East,C-Cp,0.4221,0.3918,2014,2014-07-29 00:00:00.000003
East,C-Cp,0.3711,0.3799,2014,2014-12-15 23:59:59.999999
East,C-Cp,0.3131,0.3683,2015,2015-05-05 00:00:00.000002
East,C-Cp,0.3316,0.3576,2015,2015-09-21 23:59:59.999998
East,C-Cp,0.3476,0.3481,2016,2016-02-08 22:58:50.958904
East,C-Cp,0.3787,0.3393,2016,2016-06-27 23:59:59.999997
East,C-Cp,0.3279,0.3307,2016,2016-11-15 00:45:22.191783
East,C-Cp,0.3218,0.3213,2017,2017-04-03 23:59:59.999998
East,C-Cp,0.319,0.3107,2017,2017-08-22 00:00:00.000001
East,C-Cp,0.2783,0.2985,2018,2018-01-08 23:59:59.999997
East,C-Cp,0.3266,0.2849,2018,2018-05-29 00:00:00.000000
East,C-Cp,0.3105,0.2706,2018,2018-10-15 23:59:59.999996
East,C-Cp,0.2261,0.257,2019,2019-03-05 00:00:00.000000
East,C-Cp,0.2256,0.2461,2019,2019-07-23 00:00:00.000003
East,C-Cp,0.1759,0.24,2019,2019-12-09 22:25:34.426227
East,C-Cp,0.1816,0.2401,2020,2020-04-28 00:00:00.000002
East,C-Cp,0.2365,0.2472,2020,2020-09-15 00:00:00.000002
East,C-Cp,0.2242,0.2608,2021,2021-02-02 01:14:45.245900
East,C-Cp,0.2346,0.2793,2021,2021-06-21 23:59:59.999999
East,C-Cp,0.3221,0.3007,2021,2021-11-09 00:00:00.000002
East,C-Cp,0.339,0.3221,2022,2022-03-28 23:59:59.999998
East,C-Cp,0.3685,0.3413,2022,2022-08-16 00:00:00.000001
East,C-Cp,0.4029,0.3566,2023,2023-01-02 23:59:59.999997
East,C-Cp,0.4013,0.3671,2023,2023-05-23 00:00:00.000001
East,C-Cp,0.404,0.3734,2023,2023-10-09 23:59:59.999997
East,C-Cp,0.3695,0.3764,2024,2024-02-26 23:34:21.369864
East,C-Cp,0.3574,0.3775,2024,2024-07-16 00:00:00.000000
East,K-A,0.0,0.087,1995,1995-05-29 23:59:59.999999
East,K-A,0.2015,0.0859,1995,1995-10-17 00:00:00.000002
East,K-A,0.0541,0.0835,1996,1996-03-04 23:48:09.863014
East,K-A,0.181,0.0799,1996,1996-07-23 00:00:00.000000
East,K-A,0.0127,0.0753,1996,1996-12-10 01:34:41.095893
East,K-A,-0.0029,0.0701,1997,1997-04-29 00:00:00.000002
East,K-A,0.1327,0.0649,1997,1997-09-15 23:59:59.999998
East,K-A,0.0394,0.06,1998,1998-02-03 00:00:00.000002
East,K-A,0.0749,0.0558,1998,1998-06-22 23:59:59.999998
East,K-A,0.0947,0.0527,1998,1998-11-10 00:00:00.000001
East,K-A,-0.0541,0.0514,1999,1999-03-29 23:59:59.999997
East,K-A,0.0577,0.0524,1999,1999-08-17 00:00:00.000000
East,K-A,0.026,0.0559,2000,2000-01-03 21:47:50.136984
East,K-A,0.0569,0.0613,2000,2000-05-22 23:59:59.999998
East,K-A,0.1306,0.0682,2000,2000-10-09 23:59:59.999999
East,K-A,0.0617,0.0761,2001,2001-02-27 00:25:34.426228
East,K-A,0.0537,0.0844,2001,2001-07-17 00:00:00.000003
East,K-A,0.0585,0.0929,2001,2001-12-03 23:59:59.999999
East,K-A,0.1143,0.1007,2002,2002-04-23 00:00:00.000003
