Basin,Mean dH,dh_median_smooth,Smooth dH,std_dh,error_dh,time,Dates,dates
All,0,0.0589730689790822,0.136597871977003,9.15858368741954,0.0492155193517364,1997.32328767123,1997,1997-04-29 00:00:00.000002
All,0.0589730689790822,0.0589730689790822,0.146914645916559,9.88559334712207,0.052735353652847,1997.70684931507,1997,1997-09-15 23:59:59.999998
All,0.22093105473348,0.162085132576969,0.165197579454684,8.30675701786634,0.0443268244503102,1998.0904109589,1998,1998-02-03 00:00:00.000002
All,0.306602828755401,0.22093105473348,0.187844157402829,9.63762124772986,0.0504242067046403,1998.47397260274,1998,1998-06-22 23:59:59.999998
All,0.162085132576969,0.242376651404566,0.211503409412339,8.74612320862986,0.0457467260621727,1998.85753424658,1998,1998-11-10 00:00:00.000001
All,0.262971459590585,0.262971459590585,0.234186570330388,7.85202304201518,0.0412938495141591,1999.24109589041,1999,1999-03-29 23:59:59.999997
All,0.242376651404566,0.262971459590585,0.255475757350154,8.75167563133087,0.0458158958811481,1999.62465753425,1999,1999-08-17 00:00:00.000000
All,0.270766200831401,0.270766200831401,0.276106559563998,7.48591512410411,0.0395736879144811,2000.00794595404,2000,2000-01-03 21:47:50.136984
All,0.300723592420021,0.300547745699579,0.297329307293735,8.05718648247316,0.0420948910943337,2000.39071038251,2000,2000-05-22 23:59:59.999998
All,0.300547745699579,0.300723592420021,0.320342769261765,7.98281443712113,0.0417662278808682,2000.77322404372,2000,2000-10-09 23:59:59.999999
All,0.327613001491461,0.327613001491461,0.34589547859727,6.56086482606374,0.0346771853961764,2001.1562130399,2001,2001-02-27 00:25:34.426228
All,0.362651172152123,0.335551295475157,0.37394871989806,7.56012638990071,0.0425371110873241,2001.5397260274,2001,2001-07-17 00:00:00.000003
All,0.335551295475157,0.362651172152123,0.403468112887376,6.80430579366099,0.0353734233932176,2001.92328767123,2001,2001-12-03 23:59:59.999999
All,0.426437825813367,0.426437825813367,0.432528977078376,6.87022772785961,0.0363804682932896,2002.30684931507,2002,2002-04-23 00:00:00.000003
All,0.553039113888518,0.426437825813367,0.458794117511489,6.72513365350169,0.0380912787301954,2002.6904109589,2002,2002-09-09 23:59:59.999999
All,0.656412808782199,0.553039113888518,0.480188330259831,7.23315838541106,0.0377835565636135,2003.07397260274,2003,2003-01-28 00:00:00.000002
All,0.336846849072021,0.579160305224968,0.495431505586857,5.89438994557454,0.034791059346142,2003.45753424658,2003,2003-06-16 23:59:59.999998
All,0.579160305224968,0.579160305224968,0.5041209804638,7.27517557367829,0.0375643376666988,2003.84105097687,2003,2003-11-03 23:36:23.606560
All,0.581298419283193,0.525741098765477,0.506411031509808,7.2213330085591,0.0372199048796394,2004.22404371585,2004,2004-03-23 00:00:00.000003
All,0.474173218933601,0.536114558206128,0.502592837952167,6.70661584875285,0.0348138538949839,2004.60655737705,2004,2004-08-10 00:00:00.000003
All,0.525741098765477,0.525741098765477,0.492809925719276,7.17653264220522,0.0371059905643275,2004.98931806273,2004,2004-12-28 02:10:11.506853
All,0.536114558206128,0.503613319507941,0.47705000642027,7.17365942900705,0.037258851320321,2005.37260273973,2005,2005-05-17 00:00:00.000001
All,0.441377483974343,0.503613319507941,0.455305354904414,6.73735265575721,0.0347943231682362,2005.75616438356,2005,2005-10-03 23:59:59.999997
All,0.503613319507941,0.441377483974343,0.427796511452248,6.52961412921006,0.0335744982261329,2006.1397260274,2006,2006-02-21 00:00:00.000000
All,0.410307773513005,0.410307773513005,0.395129632364762,6.69351801184683,0.0349351203833683,2006.52328767123,2006,2006-07-10 23:59:59.999996
All,0.329584865356289,0.383188526878115,0.35839523154557,6.09965860235405,0.0313190357127604,2006.90684931507,2006,2006-11-28 00:00:00.000000
All,0.383188526878115,0.329584865356289,0.319152892319883,6.05682791479032,0.0313316802544504,2007.2904109589,2007,2007-04-17 00:00:00.000003
All,0.265446494430579,0.265446494430579,0.279352488455634,5.74020488292677,0.0300172464933126,2007.67397260274,2007,2007-09-03 23:59:59.999999
All,0.191458900542269,0.191458900542269,0.241207837593061,5.1996043838458,0.0268750193211104,2008.05719365222,2008,2008-01-21 22:23:20.547944
All,0.160944769463061,0.180808400663748,0.207099829684791,5.17299926984427,0.027059669763971,2008.43989071038,2008,2008-06-10 00:00:00.000001
All,0.180808400663748,0.160944769463061,0.179384786769158,5.23567504587901,0.0270940480556483,2008.82242308556,2008,2008-10-28 00:09:51.780823
All,0.152263699424005,0.152263699424005,0.160057842976021,4.68660220477113,0.0242640297017499,2009.20547945205,2009,2009-03-16 23:59:59.999999
All,0.0512133454263018,0.0512133454263018,0.150038905417034,4.6466662481351,0.0241918730046703,2009.58904109589,2009,2009-08-04 00:00:00.000002
All,0.0108680677477484,0.0512133454263018,0.148334855873371,4.21998014317763,0.0218704670090842,2009.97260273973,2009,2009-12-21 23:59:59.999998
All,0.029686825105768,0.0512133454263018,0.151590999945408,4.21826166511429,0.0219790579609762,2010.35616438356,2010,2010-05-11 00:00:00.000001
All,0.348977929787723,0.207471134107574,0.154573120144781,2.84413478692555,0.0156176872273073,2010.7397260274,2010,2010-09-27 23:59:59.999998
All,0.307813077551982,0.207471134107574,0.151668112825234,2.76410711146564,0.0120905271394302,2011.12328767123,2011,2011-02-15 00:00:00.000001
All,0.207471134107574,0.207471134107574,0.138803278139517,2.62077813721486,0.0113289180339455,2011.50684931507,2011,2011-07-04 23:59:59.999997
All,0.140202125967157,0.167030161955613,0.114757450320124,2.39653972703636,0.0103774511429106,2011.89029867505,2011,2011-11-21 23:00:59.016390
All,0.167030161955613,0.140202125967157,0.0812699004244183,2.48499054350284,0.0107946183483838,2012.27322404372,2012,2012-04-09 23:59:59.999999
All,-0.026435318313613,-0.026435318313613,0.0419996717778352,2.18429800367934,0.00940529715226218,2012.65573770492,2012,2012-08-27 23:59:59.999999
All,-0.0387697403533009,-0.0387697403533009,0.000952118465690155,2.1258173898742,0.00915416631100258,2013.03856576091,2013,2013-01-15 01:50:09.836063
All,-0.0744754845139049,-0.0744754845139049,-0.038820096522806,2.02766006765416,0.00878079399723058,2013.42191780822,2013,2013-06-04 00:00:00.000000
All,-0.095599185917926,-0.0916909624554191,-0.075828875194503,1.93368761007026,0.00842743430345065,2013.80547945205,2013,2013-10-22 00:00:00.000003
All,-0.0916909624554191,-0.095599185917926,-0.110010471041299,1.7408133754303,0.00749703183667319,2014.18904109589,2014,2014-03-10 23:59:59.999999
All,-0.146003561676432,-0.146003561676432,-0.14211913703593,1.79435202299318,0.00774363313354726,2014.57260273973,2014,2014-07-29 00:00:00.000003
All,-0.183856086054404,-0.166249110089993,-0.173025776100528,1.5750465575415,0.0067969541535358,2014.95616438356,2014,2014-12-15 23:59:59.999999
All,-0.166249110089993,-0.183856086054404,-0.203189070333319,1.52112739251427,0.00653163279836175,2015.3397260274,2015,2015-05-05 00:00:00.000002
All,-0.262470193971754,-0.253949758128308,-0.232466191581841,1.43457354085718,0.00618879808163256,2015.72328767123,2015,2015-09-21 23:59:59.999998
All,-0.253949758128308,-0.262470193971754,-0.2602429892638,1.34390982908321,0.00580583545141743,2016.1064413504,2016,2016-02-08 22:58:50.958904
All,-0.302848175599702,-0.302848175599702,-0.28585985621896,1.40954908235412,0.0060669694585157,2016.48907103825,2016,2016-06-27 23:59:59.999997
All,-0.375297923821697,-0.324379262643547,-0.309129557934238,1.33985063878308,0.00583404609634072,2016.87167078374,2016,2016-11-15 00:45:22.191783
All,-0.324379262643547,-0.327265910500954,-0.330762969833546,1.22336528402855,0.00528778461967086,2017.25479452055,2017,2017-04-03 23:59:59.999998
All,-0.363693571520484,-0.351208268848741,-0.352462900420405,1.31936152971649,0.00567626169280141,2017.63835616438,2017,2017-08-22 00:00:00.000001
All,-0.327265910500954,-0.351208268848741,-0.376570939084859,1.26188175008515,0.00544861874131671,2018.02191780822,2018,2018-01-08 23:59:59.999997
All,-0.351208268848741,-0.363693571520484,-0.405283361653266,1.4879162414145,0.0064294588031092,2018.40547945205,2018,2018-05-29 00:00:00.000000
All,-0.389357022087441,-0.389357022087441,-0.43979108897065,1.42914330240897,0.00613569692425912,2018.78904109589,2018,2018-10-15 23:59:59.999996
All,-0.397078261592571,-0.397078261592571,-0.479716862694386,1.15368324456697,0.00498329210027106,2019.17260273973,2019,2019-03-05 00:00:00.000000
All,-0.5414668997777,-0.5414668997777,-0.52317051060408,1.39006271441205,0.00603105234744073,2019.55616438356,2019,2019-07-23 00:00:00.000003
All,-0.634266669671698,-0.634266669671698,-0.567445337190483,1.73137273141334,0.00745126291427469,2019.93954637323,2019,2019-12-09 22:25:34.426227
All,-0.673554594118989,-0.657405323980502,-0.609978651375268,1.63111445273455,0.00707151217567955,2020.32240437158,2020,2020-04-28 00:00:00.000002
All,-0.662224269470106,-0.662224269470106,-0.649114916399254,1.75411887404023,0.00748162873288367,2020.70491803279,2020,2020-09-15 00:00:00.000002
All,-0.657405323980502,-0.673554594118989,-0.684357055155051,1.71927557161247,0.00735856148826652,2021.08781345909,2021,2021-02-02 01:14:45.245900
All,-0.727534864468077,-0.727534864468077,-0.716101183279744,1.87042476763676,0.00799319524887911,2021.47123287671,2021,2021-06-21 23:59:59.999999
All,-0.783134842726305,-0.766154355442947,-0.745195678654841,2.00327874327842,0.00856500994522899,2021.85479452055,2021,2021-11-09 00:00:00.000002
All,-0.766154355442947,-0.783134842726305,-0.772546483056568,2.00130527210002,0.00858162988998597,2022.23835616438,2022,2022-03-28 23:59:59.999998
All,-0.811481648298893,-0.797915128210309,-0.798822694124513,2.29322554796237,0.00974958343284032,2022.62191780822,2022,2022-08-16 00:00:00.000001
All,-0.797915128210309,-0.811481648298893,-0.824201205033734,2.24799895309708,0.00960893920178494,2023.00547945205,2023,2023-01-02 23:59:59.999997
All,-0.828523746014693,-0.828523746014693,-0.848088448865902,2.30948184232352,0.00991915892131812,2023.38904109589,2023,2023-05-23 00:00:00.000001
All,-0.902792177140683,-0.8839267258586,-0.869006659311257,2.46760254907997,0.0105797586465316,2023.77260273973,2023,2023-10-09 23:59:59.999997
All,-0.8839267258586,-0.902792177140683,-0.884829775799916,2.45366178745659,0.0104538993214213,2024.15568904858,2024,2024-02-26 23:34:21.369864
All,-1.0022103382984,-0.902792177140683,-0.893415808597618,3.13743725826502,0.0209102085338211,2024.53825136612,2024,2024-07-16 00:00:00.000000
CE,0,0.0351485205216828,0.164832023458212,13.5829858126468,0.281274896810422,1997.32328767123,1997,1997-04-29 00:00:00.000002
CE,0.0351485205216828,0.0351485205216828,0.178238881249099,15.3584466690087,0.315947870963939,1997.70684931507,1997,1997-09-15 23:59:59.999998
CE,0.273235976843835,0.222756673730621,0.201261370092734,11.9177198115506,0.245478454058881,1998.0904109589,1998,1998-02-03 00:00:00.000002
CE,0.3799003173392,0.273235976843835,0.228009527205159,15.4137715156127,0.30583843216441,1998.47397260274,1998,1998-06-22 23:59:59.999998
CE,0.222756673730621,0.273235976843835,0.253100133914725,13.822064662972,0.276110159628998,1998.85753424658,1998,1998-11-10 00:00:00.000001
CE,0.430449588387966,0.3799003173392,0.273967001064207,10.0295420942399,0.201033603386824,1999.24109589041,1999,1999-03-29 23:59:59.999997
CE,0.225475154900964,0.225475154900964,0.291898659750877,14.050307039282,0.278510723568539,1999.62465753425,1999,1999-08-17 00:00:00.000000
CE,0.388862665802672,0.225475154900964,0.31172524591906,10.3058595779455,0.208167326735411,2000.00794595404,2000,2000-01-03 21:47:50.136984
CE,0.172942013443732,0.212184437067482,0.340488182020427,11.7126489487306,0.234722895151951,2000.39071038251,2000,2000-05-22 23:59:59.999998
CE,0.212184437067482,0.212184437067482,0.385594815787061,10.7900180677851,0.214432357956248,2000.77322404372,2000,2000-10-09 23:59:59.999999
CE,0.20053116021833,0.212184437067482,0.453155265489849,8.46637942226991,0.171186495493971,2001.1562130399,2001,2001-02-27 00:25:34.426228
CE,0.699274097519755,0.369642442508747,0.546593003280013,12.0949594994766,0.267655732670039,2001.5397260274,2001,2001-07-17 00:00:00.000003
CE,0.369642442508747,0.545259963795445,0.665535693130438,9.78014736829131,0.194902556604288,2001.92328767123,2001,2001-12-03 23:59:59.999999
CE,0.545259963795445,0.699274097519755,0.804888781029785,9.82330736121162,0.20255318390457,2002.30684931507,2002,2002-04-23 00:00:00.000003
CE,0.89307488705271,0.89307488705271,0.954518225965422,10.4670447975881,0.21069367833863,2002.6904109589,2002,2002-09-09 23:59:59.999999
CE,1.43425574693276,1.16164643419361,1.10016192262512,11.9606494371954,0.219507651223366,2003.07397260274,2003,2003-01-28 00:00:00.000002
CE,1.16164643419361,1.43425574693276,1.22598450999557,11.8035912444403,0.293353137303908,2003.45753424658,2003,2003-06-16 23:59:59.999998
CE,1.90018941481707,1.43425574693276,1.31819123056411,12.9823744134757,0.233622939623416,2003.84105097687,2003,2003-11-03 23:36:23.606560
CE,1.76708925214401,1.45763291822565,1.36840259470342,13.0227308880073,0.233293877557875,2004.22404371585,2004,2004-03-23 00:00:00.000003
CE,1.37617549901714,1.45763291822565,1.37534603282375,12.8026634796547,0.230239899757319,2004.60655737705,2004,2004-08-10 00:00:00.000003
CE,1.45763291822565,1.44785951874562,1.34422250961566,11.4421229154252,0.206206221499005,2004.98931806273,2004,2004-12-28 02:10:11.506853
CE,1.44785951874562,1.37617549901714,1.28428725286102,12.5878358348133,0.226230207782923,2005.37260273973,2005,2005-05-17 00:00:00.000001
CE,1.21654674170235,1.21654674170235,1.20570791223282,12.4050484755821,0.222050411012754,2005.75616438356,2005,2005-10-03 23:59:59.999997
CE,0.875615837007562,1.07933704659149,1.11723707966964,10.066261083547,0.179754662206197,2006.1397260274,2006,2006-02-21 00:00:00.000000
CE,1.07933704659149,1.03733048811944,1.02535173338216,12.2950216885359,0.223103767008384,2006.52328767123,2006,2006-07-10 23:59:59.999996
CE,1.03733048811944,0.971655108491807,0.934843088122849,10.3524298253163,0.184512134709827,2006.90684931507,2006,2006-11-28 00:00:00.000000
CE,0.971655108491807,0.971655108491807,0.849901318795783,10.4954908909148,0.188901080169416,2007.2904109589,2007,2007-04-17 00:00:00.000003
CE,0.609351902942476,0.609351902942476,0.774628667793797,9.63607053023752,0.175143393292405,2007.67397260274,2007,2007-09-03 23:59:59.999999
CE,0.427567983567917,0.609351902942476,0.71225569634825,8.23832652198804,0.148589140107444,2008.05719365222,2008,2008-01-21 22:23:20.547944
CE,0.418789216965516,0.609351902942476,0.663764330431146,8.35569193630928,0.151871474418849,2008.43989071038,2008,2008-06-10 00:00:00.000001
CE,0.838369101046273,0.427567983567917,0.627032865665588,8.71393753147705,0.156582722391072,2008.82242308556,2008,2008-10-28 00:09:51.780823
CE,0.694002249123575,0.694002249123575,0.597552511009763,7.70313140100629,0.139094647484986,2009.20547945205,2009,2009-03-16 23:59:59.999999
